area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
70.25,2019-06-26 12:43:34,简装,有电梯,低楼层(共28层)2013年建板塔结合,70,3b833769155fd6398a8290cf965d761c,上塘,26,东南,10个月以前,2室2厅,上塘地铁口优质两房，朝南户型，看房随时可看,415,万,59075,潜龙曼海宁花园北区 
115.81,2019-06-26 12:43:34,精装,有电梯,中楼层(共9层)2007年建板塔结合,33,401f98caf078f1a1c7ec1705c318eb64,龙岗中心城,15,南,8个月以前,3室2厅,招商依山郡 3室2厅 480万,480,万,41448,招商依山郡 
77.59,2019-06-26 12:43:34,精装,有电梯,低楼层(共12层)2001年建塔楼,66,06cbeb503b64b68d6768ed120a385f3c,西乡,44,西南,1个月以前,2室2厅,富瑰园电梯2房 15年的装修 自住 保养好 花园中间,390,万,50265,富瑰园 
98.29,2019-06-26 12:43:34,简装,无电梯,中楼层(共6层)2004年建板塔结合,21,2c4209fce90206064cfd7aa02fe1e143,横岗,9,东南,31天以前,3室1厅,此房满五，红本在手，户型实用，位置安静，低价诚售,345,万,35101,中海怡美山庄 
43.36,2019-06-26 12:43:34,简装,有电梯,高楼层(共28层)2004年建板塔结合,176,d3d4a330b2600e10c29c38511261eeeb,福田中心,81,北,10个月以前,1室1厅,岗厦地铁口D出口一房一厅，厅出阳台,240,万,55351,润恒大厦 
37.95,2019-06-26 12:43:34,简装,有电梯,中楼层(共32层)2002年建板塔结合,86,74f2e4e21629f69966747a9be11f1b2f,南山中心,80,北,3个月以前,1室1厅,房子高楼层，采光条件好，交通便利，生活配套齐,268,万,70620,万象新园 
36.35,2019-06-26 12:43:34,精装,有电梯,中楼层(共30层)2005年建塔楼,8,1f724af9d5aec422c576efd3ae28575f,石厦,26,北,1个月以前,1室0厅,房子方正实用，看房子方便，总价低,235,万,64650,南方国际广场 
36.18,2019-06-26 12:43:34,精装,有电梯,中楼层(共30层)2005年建塔楼,17,981267fb03f0952ffb18f54ebe71e6fe,石厦,32,南,2个月以前,1室0厅,满2年税费低  地理位置优越 办公住家均可,225,万,62190,南方国际广场 
66.63,2019-06-26 12:43:34,精装,无电梯,中楼层(共7层)2000年建板塔结合,18,a918b3e3bee0352b20fddd5893591677,西乡,18,东南,21天以前,2室1厅,满五唯一 红本在手 中间楼层 客厅正出大阳台 东南向,358,万,53730,雅涛花园 
89.51,2019-06-26 12:43:34,精装,有电梯,中楼层(共47层)2013年建塔楼,50,da22553d3a1e888f4d5c430a0584a5ee,坂田,45,南,1个月以前,3室1厅,佳兆业城市广场  经典三房，低总价，南向,465,万,51950,佳兆业城市广场一期 
