area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
95.99,2019-06-26 12:48:49,精装,有电梯,低楼层(共14层)2004年建板楼,23,1b99dda8315ec2b48ad3bbc80d6a57e3,莘庄,6,南,2个月以前,2室2厅,江南名邸 位置安静 春城区 近南广场 户型方正 诚意售,575,万,59903,江南名邸 
119.36,2019-06-26 12:48:49,精装,无电梯,高楼层(共6层)2005年建板楼,36,b7203f3f1892cf86393d472451dbd5fc,川沙,14,南,3个月以前,3室2厅,万馨佳园 顶楼阁楼 拎包入住  孩子梦想放飞的起点,450,万,37702,万馨佳园 
101.79,2019-06-26 12:48:49,精装,无电梯,低楼层(共6层)1994年建板楼,41,ca9fe8b79ecb8593ddad78419dfa7ff3,川沙,8,南,1个月以前,3室1厅,此房满五唯一 精装修 一楼附带天井 天井做了客厅,350,万,34385,银凤小区 
169,2019-06-26 12:48:49,精装,有电梯,低楼层(共38层)2012年建板楼,101,ac07cab35a2eb3477ac9fa51561bd9cc,世博滨江,26,南,一年前,3室2厅,三开间朝南一线江景+户型正气+满五唯一+随时看房,1800,万,106509,融创滨江壹号院 
162.32,2019-06-26 12:48:49,毛坯,有电梯,低楼层(共12层)2011年建板楼,46,28231e66355face53a00520307b84cce,唐镇,21,南,2个月以前,4室2厅,张江后花园 单价低  满五年唯一 税费少  公园多,550,万,33884,毕加索小镇(二期)(公寓) 
97.67,2019-06-26 12:48:49,简装,无电梯,中楼层(共6层)2000年建板楼,192,761c8b2d216c9f9ad1ec352ead9f95d4,北蔡,20,南,7个月以前,3室2厅,满五唯一+近地铁+看房有钥匙+南北通全明+中间楼层,728,万,74537,万邦都市花园 
182.43,2019-06-26 12:48:49,精装,有电梯,高楼层(共35层)2005年建板楼,65,a5841afdbbf34dcccb98114f799649fc,花木,19,南 北,7个月以前,3室2厅,高区视野好，位置安静，看房方便，交通完善，配套齐全,1598,万,87596,浦东世纪花园(公寓) 
288.86,2019-06-26 12:48:49,精装,有电梯,高楼层(共28层)板楼,123,9c08d160d1ecd70670d731c26e437440,新天地,54,南 北,8个月以前,4室2厅,隽荟高区大四房，新房未入住，带车位视野开阔随时可看,4700,万,162709,翠湖天地隽荟 
109.27,2019-06-26 12:48:49,精装,有电梯,高楼层(共8层)2005年建板楼,42,ece4c4bc02a2f9f252a3542712f9212d,静安新城,25,南 北,3个月以前,2室2厅,京都园改善电梯大两房 南北通透 户型正气 看房方便,708,万,64794,大上海国际花园七区 
146.16,2019-06-26 12:48:49,精装,有电梯,低楼层(共11层)2004年建板楼,194,18d31486a3392037d1196e39f665b4d0,东外滩,21,南,3个月以前,3室2厅,南北大三房+视野开阔+地铁口交通方便+满五唯一无个税,898,万,61440,平盛苑 
78.52,2019-06-26 12:48:49,毛坯,无电梯,中楼层(共6层)1999年建板楼,116,6355371fb97412aca82a8c8ee599f238,北蔡,23,南,2个月以前,2室2厅,商品房，3楼，大两房，满五唯一无个税,360,万,45849,绿川新苑 
49.46,2019-06-26 12:48:49,精装,无电梯,高楼层(共6层)1988年建板楼,7,216295da12f876fc25986f5e66f3d4cd,源深,41,南,1个月以前,2室1厅,婚房装修，双南户型，户型方正，采光佳，配套齐全,560,万,113223,梅园四街坊 
50.24,2019-06-26 12:48:49,毛坯,无电梯,高楼层(共6层)1985年建板楼,28,c129dbdf4a6793ff744628718f730dac,彭浦,32,南 北,1个月以前,2室0厅,新静安区，近地铁1号线彭浦新村站，南北两房，全明,232,万,46179,彭新小区 
84.18,2019-06-26 12:48:49,毛坯,有电梯,中楼层(共18层)2010年建板楼,15,8d1f3432984e54db823be2a9dd7d7d97,南翔,18,南,14天以前,2室2厅,一手动迁，满五唯一 税费少 看房方便 房东诚意出售,310,万,36826,宏立瑞园 
103.95,2019-06-26 12:48:49,精装,有电梯,高楼层(共18层)1996年建塔楼,60,d9c290b1d630cfa0fe7d8f651e1f2432,曲阳,7,南,3个月以前,3室2厅,房型正气  交通方便 内环内轨交房  税费少,680,万,65417,赤峰路525号 
128.95,2019-06-26 12:48:49,毛坯,无电梯,高楼层(共6层)2006年建板楼,61,849e8d5e1ad09003ac569e67761cb947,北蔡,13,南 北,16天以前,3室1厅,朝南视野无遮挡+6层复7层+60平露台楼上不算产证面积,850,万,65918,大华锦绣华城(十二街区) 
90,2019-06-26 12:48:49,精装,无电梯,高楼层(共6层)2005年建板楼,64,2b2f6e6d2b6a10523b5430e9b621295b,三林,12,南,8个月以前,2室2厅,小区户型方正+自住装修+保养很好+无个税,670,万,74445,东方滨港园 
71.76,2019-06-26 12:48:49,精装,无电梯,高楼层(共6层)1995年建板楼,103,e2dde253f926442b6e540f2837d418a1,张江,8,西 北,3个月以前,2室1厅,此房满五年唯一，没有个税，看房方便价格可谈诚意出售,350,万,48774,香楠小区 
72.34,2019-06-26 12:48:49,精装,有电梯,高楼层(共18层)2012年建板楼,51,6fd41ebdaeafa8cad994d27bbc567fd5,古美,23,南,1个月以前,2室2厅,高区两房 含产权车位 满五唯一 诚意出售 看房方便,630,万,87089,万源城尚郡 
62.95,2019-06-26 12:48:49,简装,无电梯,高楼层(共6层)1994年建板楼,4,fe9428d543eda8c6fd2b412fe724db8b,外高桥,19,南,1个月以前,2室1厅,非顶楼！！潼港八村好房推进，62.95平双南户型带装修,228,万,36220,潼港八村 
96.53,2019-06-26 12:48:49,简装,无电梯,中楼层(共5层)2004年建板楼,10,138176d8fcb255e264751e2996e9911b,浦江,8,南 北,13天以前,2室1厅,景江苑C区 2室1厅 350万,350,万,36259,景江苑C区 
132.02,2019-06-26 12:48:49,精装,有电梯,高楼层(共12层)2000年建板楼,19,bcfc12ff53c2cbc5c756287107afeb01,古美,13,南,一年前,3室2厅,1号线地铁外环路 电梯大三房 楼层好采光好 安静,760,万,57568,新梅广场 
78.21,2019-06-26 12:48:50,简装,无电梯,高楼层(共6层)2003年建板楼,50,6ca84d5e9c4e7adb7aa27be584c7c18d,桃浦,28,南,2个月以前,2室2厅,满五唯一+ 带装修+诚意出售+到价签字,330,万,42195,桃浦二村永汇新苑 
132.87,2019-06-26 12:48:50,精装,有电梯,高楼层(共34层)2003年建塔楼,19,414c3d4b5e76e9569ebbc35899389cf9,徐家汇,7,东,1个月以前,3室2厅,高区景观精装三房，可看卢浦、徐浦大桥，高得房率,1199,万,90239,上海五月天(公寓) 
70.49,2019-06-26 12:48:50,简装,有电梯,中楼层(共16层)1992年建塔楼,40,86d49294005e3f77a8f857077c059dfe,东外滩,11,南,1个月以前,2室1厅,两房朝南，电梯房，满五唯一，税费低，出行购物方便,460,万,65258,银浦大楼 
49.07,2019-06-26 12:48:50,精装,无电梯,中楼层(共6层)1994年建板楼,80,7295dfd2655e5446f1f7af2cd4698189,华东理工,14,南,1个月以前,1室1厅,四楼精装，拎包入住，再无第二套,255,万,51967,凌云新村 
143.62,2019-06-26 12:48:50,精装,有电梯,8层2010年建板楼,96,c4c3e2f14069f670251c9f641cbb8b8a,唐镇,24,南,2个月以前,3室2厅,满五年唯一 中间楼层 精装修 拎包入住带固定长租车位,768,万,53475,毕加索小镇(一期)(公寓) 
66.64,2019-06-26 12:48:50,精装,无电梯,中楼层(共6层)1995年建板楼,175,22198ac86ec29ff0dec04530c9a19777,三林,20,南,1个月以前,2室1厅,南北格局 视野开阔 交通便利 配套成熟 诚意出售,308,万,46219,三林苑 
72.09,2019-06-26 12:48:50,精装,无电梯,中楼层(共6层)1994年建板楼,35,0db70eb2443bef96e4ed8a786dd47543,西渡,24,南,1个月以前,2室1厅,精装大两房，双南户型，厨卫朝北，看房方便,173,万,23998,鸿宝一村(北区) 
180.35,2019-06-26 12:48:50,精装,有电梯,高楼层(共11层)2005年建板楼,24,04ba90a743549294b235c3fd8378ee74,金杨,5,南,3个月以前,4室2厅,05年次新房+楼上楼下双层大露台+双轨交通+拎包入住,1480,万,82063,云山星座苑 
56.43,2019-06-26 12:48:50,精装,无电梯,中楼层(共6层)1994年建板楼,107,c2a42c70d98e195f9c771decbc81a2e6,世博,35,南,1个月以前,2室1厅,双轨6/13号满五年唯一三楼 全明一梯两户诚意,320,万,56708,昌七小区 
191.14,2019-06-26 12:48:50,精装,有电梯,低楼层(共11层)2008年建板楼,44,318623e54cb6f7a08172de0a8c5cbd84,古美,30,南,1个月以前,4室3厅,满5年唯一税少，带64平花园，带32平阳光房，采光充足,1100,万,57550,东苑古龙城(公寓) 
184.99,2019-06-26 12:48:50,精装,有电梯,高楼层(共30层)2006年建板楼,85,eced87247a2f8e70a8d2de309fbe6d1e,陆家嘴,35,东南,1个月以前,3室2厅,双卧朝南，高层三房户型东南向采光好270度观景阳台,2200,万,118926,财富海景花园 
118.39,2019-06-26 12:48:50,精装,有电梯,中楼层(共21层)2004年建板楼,62,401dbba2fdb8f7b72e4fd62b996b1cd1,联洋,22,南,10个月以前,2室2厅,小区中间位置，南北通，边套全明，实木地板，保养好,1080,万,91224,联洋年华 
60.14,2019-06-26 12:48:50,简装,有电梯,中楼层(共18层)1992年建塔楼,22,0019571d72f451727cfc6d6f96094296,中原,15,西南,1个月以前,2室1厅,高楼层带电梯 采光充足  业主诚心出售,310,万,51547,民星住宅小区 
197,2019-06-26 12:48:50,简装,有电梯,高楼层(共23层)2018年建板楼,84,4f6cf1476c526fb7fb5a423f2203c4bb,源深,28,南,11个月以前,4室2厅,有钥匙采光无遮挡+中间景观位置+楼层好准④房,1730,万,87818,尚海郦景 
75.46,2019-06-26 12:48:50,精装,无电梯,高楼层(共6层)2001年建板楼,129,58afc23bc6a04f4c6a952e45c9d5b111,张江,7,南,11个月以前,2室1厅,房龄2001年两房朝南楼层好 采光充足交通便利 价格可谈,405,万,53671,香楠小区 
79.23,2019-06-26 12:48:50,简装,无电梯,高楼层(共6层)1993年建板楼,74,7f03d9004c0d10de31cfbfaeae7787ab,嘉定老城,5,南,3个月以前,2室1厅,店长推荐  满五唯一 位置好采光好 房东诚心看房方便,178,万,22467,南苑一村 
119.68,2019-06-26 12:48:50,精装,有电梯,中楼层(共8层)2001年建板楼,82,fcd73a0f76cf9eabd3a99a877fcfa62d,江宁路,21,南,3个月以前,3室2厅,南北 全明3房 采光好 视野佳 看房方便 得房率高,1010,万,84392,天鼎花园 
125.9,2019-06-26 12:48:50,精装,有电梯,低楼层(共18层)2006年建板楼,43,c466c4004caf3a3376c5c082e1a8f149,御桥,10,南 北,2个月以前,3室2厅,地杰一期三房两南一北 满五唯一 看房方便 诚意出售,880,万,69897,地杰国际城F欧香四季 
95.71,2019-06-26 12:48:50,精装,有电梯,中楼层(共16层)2008年建板楼,4,a6f3eaa0ab3819dedd3bb970a0faa4ee,高行,5,南 北,27天以前,2室2厅,绿地崴廉南北大两房，中区楼层，视野采光好！不靠路！,540,万,56421,绿地崴廉公寓 
61.03,2019-06-26 12:48:50,简装,无电梯,低楼层(共6层)1989年建板楼,14,93440b6bbfdf2bcb6c18681f6900f5f4,中原,26,南,26天以前,2室1厅,满五唯一，户型好，天井正对花园，地理位置优越。,345,万,56530,国和二村 
165.8,2019-06-26 12:48:50,精装,有电梯,低楼层(共9层)板楼,6,41193f67d12d3944372b70309303b56a,花木,2,西,1个月以前,4室2厅,此房位置好，满五年唯一，税费少，小区环境绿化高,1580,万,95296,四季雅苑(公寓) 
95.18,2019-06-26 12:48:50,精装,有电梯,中楼层(共11层)2004年建板楼,36,77eefc9724201368ab142f921d17ec54,真如,8,南,2个月以前,2室2厅,全明户型，户型方正，房东诚意出售,676,万,71024,金纺苑 
97.14,2019-06-26 12:48:50,简装,无电梯,高楼层(共6层)2003年建板楼,13,dddf20f419332708844eebcf4b73a2ac,共富,14,南,27天以前,2室2厅,富都园03年次新小区房本满五年，错层南北户型诚意出售,388,万,39943,富都园 
75.25,2019-06-26 12:48:50,毛坯,无电梯,高楼层(共6层)2005年建板楼,17,a7f27ef6fe62cbc43591fd1f67d3a1a7,顾村,16,南,1个月以前,2室1厅,顶楼复式 一手动迁 随时可看 设施齐全 采光足,330,万,43854,新顾村大家园B区 
65.96,2019-06-26 12:48:50,精装,无电梯,中楼层(共7层)1998年建板楼,120,452ba738001c48821c3d61ffae5b58f9,北蔡,5,南,3个月以前,2室1厅,此房满五唯一 中等装修 一梯两户,355,万,53821,培花久远公寓 
